Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.415,0.037,0.671,CLCN3,EEA1,well2,2,65.526,3.486
C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.474,0.122,0.784,CLCN3,EEA1,well2,2,59.471,8.843
C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.701,0.515,0.998,CLCN3,EEA1,well2,2,109.271,43.75
C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.589,0.241,0.987,CLCN3,EEA1,well2,2,81.124,15.269
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.24,5.36E-04,0.008,CLCN3,LAMP1,well2,2,54.595,3.57
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.635,0.323,0.54,CLCN3,LAMP1,well2,2,87.555,48.368
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.531,0.041,0.582,CLCN3,LAMP1,well2,2,73.988,4.479
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.583,0,0,CLCN3,LAMP1,well2,2,3.6,1.424
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.518,0,0,CLCN3,LAMP1,well2,2,43.53,0.655
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.508,0.016,0.152,CLCN3,LAMP1,well2,2,155.894,17.086
C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.188,2.29E-04,0.031,CLCN3,LAMP1,well2,2,140.616,1.36
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.952,0.937,0.952,CLCN3,TMEM9,well2,2,81.779,84.044
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.97,0.987,0.732,CLCN3,TMEM9,well2,2,119.867,78.691
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.706,0.929,0.468,CLCN3,TMEM9,well2,2,719.399,385.105
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.777,0.546,0.529,CLCN3,TMEM9,well2,2,72.759,65.526
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.889,0.906,0.648,CLCN3,TMEM9,well2,2,97.082,59.471
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.983,0.955,0.958,CLCN3,TMEM9,well2,2,108.223,109.271
C2-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP2-fixed-well2-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.961,0.928,0.939,CLCN3,TMEM9,well2,2,79.557,81.124
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.898,0.932,0.476,CLCN3,TMEM9,well2,2,123.176,54.595
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.952,0.927,0.906,CLCN3,TMEM9,well2,2,94.07,87.555
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.912,0.93,0.586,CLCN3,TMEM9,well2,2,132.969,73.988
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.936,0.976,0.551,CLCN3,TMEM9,well2,2,7.005,3.6
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.69,0.704,0.182,CLCN3,TMEM9,well2,2,183.234,43.53
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.934,0.867,0.894,CLCN3,TMEM9,well2,2,150.013,155.894
C2-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP2-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.94,0.868,0.861,CLCN3,TMEM9,well2,2,146.417,140.616
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.844,0.261,0.003,TMEM9,CLCN3,well2,1,0.803,135.454
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.938,0.841,0.792,TMEM9,CLCN3,well2,1,61.858,67.08
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.964,0.861,0.945,TMEM9,CLCN3,well2,1,85.096,74.939
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.97,0.888,0.973,TMEM9,CLCN3,well2,1,68.513,59.395
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.965,0.844,0.962,TMEM9,CLCN3,well2,1,161.099,133.066
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.934,0.003,0.297,TMEM9,CLCN3,well2,1,178.929,0.794
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.968,0.844,0.958,TMEM9,CLCN3,well2,1,144.491,120.759
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.892,5.98E-04,0.086,TMEM9,CLCN3,well2,1,184.709,0.258
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.93,0.844,0.916,TMEM9,CLCN3,well2,1,188.127,171.159
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.905,0.761,0.952,TMEM9,CLCN3,well2,1,154.796,107.953
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.925,0.771,0.941,TMEM9,CLCN3,well2,1,226.849,176.284
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.945,0.892,0.887,TMEM9,CLCN3,well2,1,358.757,363.189
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.969,0.862,0.921,TMEM9,CLCN3,well2,1,192.373,175.992
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.512,0.256,0.587,TMEM9,CLCN3,well2,1,226.739,102.397
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.493,0.163,0.115,TMEM9,CLCN3,well2,1,85.962,62.23
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C3-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.916,0.686,0.978,TMEM9,CLCN3,well2,1,226.384,135.432
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.516,0.06,0.002,TMEM9,EEA1,well2,1,0.803,24.873
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.53,0.165,0.701,TMEM9,EEA1,well2,1,61.858,13.837
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.286,0.061,0.342,TMEM9,EEA1,well2,1,85.096,11.572
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.539,0.139,0.982,TMEM9,EEA1,well2,1,68.513,7.825
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.395,0.013,0.335,TMEM9,EEA1,well2,1,161.099,4.918
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.253,0.011,0.376,TMEM9,EEA1,well2,1,178.929,4.221
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-007.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.527,0.118,0.965,TMEM9,EEA1,well2,1,144.491,13.376
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.497,0.106,0.693,TMEM9,EEA1,well2,1,184.709,21.852
C2-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP1-well2-fixed-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.405,0.035,0.168,TMEM9,LAMP1,well2,1,188.127,36.876
