Channel1,Channel2,Auto Threshold B,Pearson's Coefficient,Thresholded M1,Thresholded M2,Prot1,Prot2,Sample,Rep,Area A,Area B
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.286,0,0,TMEM9,LAMP1,well3,3,99.554,0.613
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.283,0.001,0.331,TMEM9,LAMP1,well3,3,138.918,0.773
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.623,0.095,0.579,TMEM9,LAMP1,well3,3,152.713,25.578
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.358,0.01,0.636,TMEM9,LAMP1,well3,3,165.544,2.451
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.382,0.001,0.037,TMEM9,LAMP1,well3,3,121.65,3.503
C2-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.519,0.003,0.327,TMEM9,LAMP1,well3,3,208.043,1.458
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.319,0.039,0.625,CLCN3,EEA1,well3,3,66.992,4.271
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.371,0.033,0.318,CLCN3,EEA1,well3,3,139.07,10.136
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-003.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.407,0.009,0.229,CLCN3,EEA1,well3,3,73.638,2.189
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-004.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.636,0.149,0.998,CLCN3,EEA1,well3,3,106.711,11.031
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-005.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.229,0.003,0.068,CLCN3,EEA1,well3,3,390.153,8.75
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-006.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.304,0.02,0.692,CLCN3,EEA1,well3,3,117.54,2.387
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-EEA1(640)-.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.368,0.026,0.544,CLCN3,EEA1,well3,3,407.641,11.336
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-001.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.425,6.52E-04,0.049,CLCN3,LAMP1,well3,3,246.888,2.7
C3-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,C4-REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002_REP3-fixed-well3-CLCN3-mCh(561)-TMEM9-GFP(488)-LAMP1(640)-002.nd2 (series 1)_MIP.tif T1,MaxEntropy,0.318,0,0,CLCN3,LAMP1,well3,3,111.616,0.613
